rank_date,snapshot_time,rank_position,bvid,aid,title,author,category,main_category,tid,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-19,2026-06-19 07:05:39,1,BV1pUJG6oEVS,116753787060825,没想到开水也能直接加进肉馅里？这样包子馅里的汤汁反而更多？,品诺美食开课啦,美食制作,美食,76,163,4250329,1962,6139,336511,25870,174730,27160,1781521614,https://www.bilibili.com/video/BV1pUJG6oEVS,http://i1.hdslb.com/bfs/archive/378a1b54cfa0920e77014bbb87854906953d94cc.jpg
2026-06-19,2026-06-19 07:05:39,2,BV1Wzjg65EM6,116757746424408,在AI里抛硬币，概率是50%吗？,影视飓风,单机游戏,游戏,17,617,4872918,4497,4616,323764,44699,50772,8676,1781600400,https://www.bilibili.com/video/BV1Wzjg65EM6,http://i1.hdslb.com/bfs/archive/ba06201e7786575aaf3b77304c7f74e9c958eb05.jpg
2026-06-19,2026-06-19 07:05:39,3,BV1nAJK6PEwh,116749374593001,《原神》动画短片——「最后的遗产」,原神,手机游戏,游戏,172,1861,6101390,96883,52182,675162,664220,245561,105155,1781496000,https://www.bilibili.com/video/BV1nAJK6PEwh,http://i0.hdslb.com/bfs/archive/7643cfcbd6364efae92208ab8aeb5cc75ba6173a.jpg
2026-06-19,2026-06-19 07:05:39,4,BV1dmJP6sEgd,116748384731561,迈克尔杰克逊的billiejean，斗胆跳一段。,特崮斯,篮球,运动,235,67,5128525,2706,12413,894441,165775,96526,17412,1781439271,https://www.bilibili.com/video/BV1dmJP6sEgd,http://i2.hdslb.com/bfs/archive/d06b949e7976e0c255a0f4885cb8a3acf0165294.jpg
2026-06-19,2026-06-19 07:05:39,5,BV1kLLd6eEhS,116767259169027,真捉真萌真实机——《伊莫》握爪测试定档7月2日,伊莫,单机游戏,游戏,17,481,2524179,1127,2307,115568,30991,55191,18726,1781740800,https://www.bilibili.com/video/BV1kLLd6eEhS,http://i0.hdslb.com/bfs/archive/811cd8aad6f533ad924daa80e490914feaf8f786.jpg
2026-06-19,2026-06-19 07:05:39,6,BV1LmjK6pEBk,116755783490540,不同人格打游戏,锤子game,搞笑,娱乐,138,86,3799828,977,4600,235099,4219,19537,22330,1781582400,https://www.bilibili.com/video/BV1LmjK6pEBk,http://i1.hdslb.com/bfs/archive/d0d1e1b2fdab4bcdfadc7f0b05e997c96a918750.jpg
2026-06-19,2026-06-19 07:05:39,7,BV16Njg6qENt,116757914195122,请停留3秒，为“糖丸爷爷”顾方舟献花，他用一粒糖丸守护了中国几代孩子的健康,大象新闻,社会,社会,205,45,782384,9020,2289,416358,39718,12485,737,1781584607,https://www.bilibili.com/video/BV16Njg6qENt,http://i0.hdslb.com/bfs/archive/53b2e6d54a32e56d714f027d0354784983e1f85e.jpg
2026-06-19,2026-06-19 07:05:39,8,BV1wwE165EpD,116736741349278,《诡秘之主：愚者》首曝PV | 欢迎回来，愚者先生,诡秘之主愚者,GMV,GMV,121,157,2582068,3763,3420,117927,35883,40764,11706,1781658000,https://www.bilibili.com/video/BV1wwE165EpD,http://i1.hdslb.com/bfs/archive/190e57d8867c7683397960f926975cf3b0d88740.jpg
2026-06-19,2026-06-19 07:05:39,9,BV1Skju6pETf,116758367178100,太硬核了！校运会开幕式上，马术系学生进行马术表演。网友：“鲜衣怒马少年时”具象化了！,人民日报,日常,生活,21,28,2430487,1644,9785,267865,4192,20307,5343,1781591444,https://www.bilibili.com/video/BV1Skju6pETf,http://i0.hdslb.com/bfs/archive/4313efdb415e08834f6bf5bbe63a1aaa24432663.jpg
2026-06-19,2026-06-19 07:05:39,10,BV1B6LR6tEcD,116765229057404,不同价格的声音,李肆言哟,日常,生活,21,91,3011060,739,1918,236262,2773,16696,1787,1781696260,https://www.bilibili.com/video/BV1B6LR6tEcD,http://i1.hdslb.com/bfs/archive/1fcb1aec42c67f54ac0e69e48af78efe6abb0e27.jpg
2026-06-19,2026-06-19 07:05:39,11,BV1BcJP6oEw5,116748552570821,《主任你说句话啊》,伤心欲茄222,搞笑,娱乐,138,179,3917933,1470,5001,339021,6258,17546,3320,1781509152,https://www.bilibili.com/video/BV1BcJP6oEw5,http://i2.hdslb.com/bfs/archive/8bd2d7dd01d2bb0e46134221396a5ebb1a79045a.jpg
2026-06-19,2026-06-19 07:05:39,12,BV1ztj36rEjF,116759357163411,月薪三千去锯齿的正确方式、结尾带原理！,佛系小詹设计日常,设计·创意,设计·创意,229,47,2965048,114,1126,165355,5265,114693,1354,1781606612,https://www.bilibili.com/video/BV1ztj36rEjF,http://i1.hdslb.com/bfs/archive/25a4b941d05eb018db00872e5f6055f2dde2d455.jpg
2026-06-19,2026-06-19 07:05:39,13,BV1TGj36QEpx,116759323483098,"几百只流浪猫猫搬到70,000平的林地，开启新生活。",五月妈院儿里的小流浪,喵星人,喵星人,218,391,850389,2587,4132,105641,87723,12471,3450,1781606239,https://www.bilibili.com/video/BV1TGj36QEpx,http://i1.hdslb.com/bfs/archive/a3e630d8a1757bde0f399a4f08250b981511afff.jpg
2026-06-19,2026-06-19 07:05:39,14,BV14zLQ6aECD,116763115196878,【速凌】你永远都不知道挂机的哈基蜂到底在干嘛,高司令-速凌电竞,单机游戏,游戏,17,485,1257686,5267,2592,113265,41711,43034,1622,1781688600,https://www.bilibili.com/video/BV14zLQ6aECD,http://i2.hdslb.com/bfs/archive/76a66ddae84623b2abc9ddd8444f93d05cbd06e8.jpg
2026-06-19,2026-06-19 07:05:39,15,BV13bJG66E2Z,116754005100117,“抱歉，我好像稍微有点不耐烦了”【The other side of paradise】【黑化の小曲】,早睡起大王,音乐综合,音乐,130,126,3096205,251,2545,170991,7907,95706,1852,1781526600,https://www.bilibili.com/video/BV13bJG66E2Z,http://i0.hdslb.com/bfs/archive/8b5bd91ebdfb71fe902889e7a0d93ddbc2499458.jpg
2026-06-19,2026-06-19 07:05:39,16,BV1UkjT6yEPq,116757595422987,乘螺舟而至——《太吾绘卷》与中国独立游戏的八年,新华社,日常,生活,21,716,3308429,6390,8522,99271,20052,12466,17246,1781582100,https://www.bilibili.com/video/BV1UkjT6yEPq,http://i1.hdslb.com/bfs/archive/79c11095248e4800a41f3e8e4abea6fa13554783.jpg
2026-06-19,2026-06-19 07:05:39,17,BV1JNjg6BEZp,116757914327953,太行深山村医47年如一日，诠释医者仁心,油克东东,日常,生活,21,146,901173,1070,2435,143361,61219,6175,390,1781584636,https://www.bilibili.com/video/BV1JNjg6BEZp,http://i0.hdslb.com/bfs/archive/b9ef0df589c79d9e895ea8603164faa376094f26.jpg
2026-06-19,2026-06-19 07:05:39,18,BV17Qjg6KE2K,116759491254199,《锻刀大赛》长沙人·狗哥专场！up主与偶像双向奔赴的浪漫,沫子瞪片,影视杂谈,影视,182,1152,1578130,8038,2253,99020,29853,14939,1549,1781609078,https://www.bilibili.com/video/BV17Qjg6KE2K,http://i0.hdslb.com/bfs/archive/7fa2666efedfa2b47bcd77c03f4f2c6be5c47e16.jpg
