rank_date,rank_position,bvid,aid,title,author,category,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-05,1,BV1RvVo6QEqo,116674682426936,不儿，你俩来真的啊？！,主持人yoyo酱,搞笑,265,4073897,12474,10680,527845,423890,83834,12004,1780314627,https://www.bilibili.com/video/BV1RvVo6QEqo,http://i1.hdslb.com/bfs/archive/e8bde3297455f3796e516de2362d5eb1085d9abf.jpg
2026-06-05,2,BV15wVB6YECT,116678608359768,一顿饭只要三块钱，客人吃着吃着，人就“没了”,瞎通不设计了,美食侦探,187,1700272,2086,5362,221149,129589,18253,1975,1780390800,https://www.bilibili.com/video/BV15wVB6YECT,http://i1.hdslb.com/bfs/archive/fd898a754bc3cf4317349a2b3c4394e104417434.jpg
2026-06-05,3,BV1jwV663EjR,116679380112598,我的世界杯主题曲！IShowSpeed - World Cup (Champions),ishowspeedsui,竞技体育,299,3611297,2063,8405,188870,33944,30717,12000,1780386563,https://www.bilibili.com/video/BV1jwV663EjR,http://i2.hdslb.com/bfs/archive/2807f6a9b9342740dfa8764e7bcc6e231196c94f.jpg
2026-06-05,4,BV1QzVR63E3L,116671930963542,回忆永远都是加分项,央视新闻,日常,184,3164428,24154,22369,548310,219027,160810,55533,1780286400,https://www.bilibili.com/video/BV1QzVR63E3L,http://i2.hdslb.com/bfs/archive/f4dc3fe8ea88a450877315e867b4995121d5dbf6.jpg
2026-06-05,5,BV16BVy6wEfx,116682534162276,《你来真的啊》,伤心欲茄222,搞笑,116,2545077,1103,4493,249501,4801,15077,3050,1780459200,https://www.bilibili.com/video/BV16BVy6wEfx,http://i1.hdslb.com/bfs/archive/f16abe0150882e397bf053e6d7a1e4dced090de1.jpg
2026-06-05,6,BV1kCVU65ERM,116669112386149,初中生斗胆跳一段jam,特崮斯,篮球,45,5034195,3348,15510,957420,154785,94995,14920,1780229707,https://www.bilibili.com/video/BV1kCVU65ERM,http://i1.hdslb.com/bfs/archive/5871a66dc8e356ff71da4a6d99d5922b4a6a3fce.jpg
2026-06-05,7,BV1oqVB6BECd,116680034425733,《原神》洛恩角色PV——「标准化考核」,原神,手机游戏,702,1632402,6740,5817,134663,33987,25419,10774,1780459200,https://www.bilibili.com/video/BV1oqVB6BECd,http://i2.hdslb.com/bfs/archive/f040c8f664a034a919aee60209ef17c155dbe2df.jpg
2026-06-05,8,BV1vkVB6NEuR,116680252462308,“超微距”下的瑞士长什么样？,影视飓风,娱乐粉丝创作,1369,2744427,6844,2726,123218,40423,22833,4882,1780477200,https://www.bilibili.com/video/BV1vkVB6NEuR,http://i1.hdslb.com/bfs/archive/5b0c10c80ad8bf4789b41860cadc70e8c144245b.jpg
2026-06-05,9,BV1W6VZ6MEbd,116674313328609,🍄欠揍气球🍄,纸片马力欧,日常,40,2133579,586,6229,283193,18170,128325,50258,1780309043,https://www.bilibili.com/video/BV1W6VZ6MEbd,http://i0.hdslb.com/bfs/archive/3d18bae01c4fc365d9e7e0ede5efb926e32115ad.jpg
2026-06-05,10,BV1XQ7Z6eEki,116689412819066,特朗普的愤怒,燕三嘤嘤嘤,人文历史,1133,2157616,9233,4183,114900,27074,17941,2018,1780545020,https://www.bilibili.com/video/BV1XQ7Z6eEki,http://i0.hdslb.com/bfs/archive/d106118a7a33e310838a2e387ce511583c5a7a62.jpg
